date_recorded,clip_num,id,annotation_providing_instrument,action,action_taking_instrument,start,clip_duration,performer_id
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,saxophone,0:03.000,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,guitar,0:06.280,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,agreement,saxophone,0:08.705,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,guitar,2:32.785,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,agreement,saxophone,2:35.255,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,guitar,3:50.375,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,agreement,saxophone,3:55.405,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,saxophone,4:35.570,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,agreement,guitar,4:36.500,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,initiation,guitar,5:07.500,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,guitar,agreement,saxophone,5:09.000,378.0,1
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,saxophone,0:03.000,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,0:06.000,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,0:08.390,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,saxophone,0:19.384,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,0:30.354,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,0:32.485,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,0:48.160,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,0:53.117,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,1:20.676,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,1:24.063,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,2:03.240,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,2:05.114,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,saxophone,2:32.736,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,2:35.200,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,3:50.425,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,4:00.285,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,initiation,guitar,5:01.099,378.0,3
02-06-2026,Clip1,02-06-2026-Clip1,saxophone,agreement,saxophone,5:07.958,378.0,3
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,saxophone,0:00.190,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,guitar,0:02.820,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,2:53.365,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,3:06.460,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,saxophone,3:34.855,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,guitar,3:40.000,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,4:46.620,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,4:51.000,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,saxophone,6:51.200,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,guitar,6:53.785,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,8:49.025,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,8:51.140,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,saxophone,9:11.910,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,guitar,9:14.580,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,11:31.050,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,11:35.340,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,13:01.285,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,13:04.225,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,13:58.565,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,14:03.885,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,saxophone,14:47.445,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,guitar,14:50.265,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,initiation,guitar,16:11.000,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,guitar,agreement,saxophone,16:12.000,1041.6,1
02-06-2026,Clip2,02-06-2026-Clip2,saxophone,initiation,saxophone,0:00.152,1041.6,3
02-06-2026,Clip2,02-06-2026-Clip2,saxophone,agreement,guitar,0:32.000,1041.6,3
02-06-2026,Clip2,02-06-2026-Clip2,saxophone,initiation,guitar,1:27.000,1041.6,3
